,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
10,9,523,9_رقم_الرقم_ممكن_التواصل,"['رقم', 'الرقم', 'ممكن', 'التواصل', 'رقم رقم', 'تواصل', 'صحيح', 'ريال', 'مغلق', 'الروضه رقم']","['الروضه رقم', 'رقم سنه', 'ال رقم', 'الخدمه', 'اكثر رقم', 'الروضه', 'المبلغ', 'رقمهم', 'رقم سنين', 'الدوام']","['ومريم كجم رقم', 'وتحقيق مبتغانا بتقديم الطابور رقم', 'وصاحبه الرقم التواصل رقم الي رقم اضاهر نوم ماترد']"
11,10,496,10_افضل_الحضانات_افضل الحضانات_افضل المراكز,"['افضل', 'الحضانات', 'افضل الحضانات', 'افضل المراكز', 'المراكز', 'افضل مركز', 'الرياض', 'بالرياض', 'مراكز', 'تعاملت']","['افضل الحضانات', 'افضل الروضات', 'افضل المراكز', 'افضل المراكز اللي', 'افضل روضه', 'الحضانات', 'افضل المدارس', 'افضل مكان', 'رعايه الاطفال', 'الروضات']","['افضل الحضانات', 'افضل الحضانات', 'افضل الحضانات']"
12,11,492,11_واستاذه_استاذه_والاستاذه_الاستاذه,"['واستاذه', 'استاذه', 'والاستاذه', 'الاستاذه', 'شكرا استاذه', 'نوره', 'واشكر', 'واشكر استاذه', 'راسهم', 'فاطمه']","['واستاذه تهاني', 'واستاذه', 'استاذه عبير', 'اشكر الاستاذه', 'استاذه منال', 'استاذه نوال', 'الاستاذه', 'الاستاذه ساره', 'واشكر استاذه', 'استاذه فاطمه']","['واستاذه رءي', 'واستاذه شذي', 'واستاذه حمده']"
13,12,423,12_الاطفال_والحرص_واخلاقها_وعدم,"['الاطفال', 'والحرص', 'واخلاقها', 'وعدم', 'الام', 'الحرص', 'وتغيير', 'الامهات', 'حريصه', 'الرد']","['حنونات الاطفال', 'الاطفال الشكر', 'رعايه الاطفال', 'الاطفال كثير', 'الاطفال راءع', 'الاطفال', 'كبير الاطفال', 'رياض الاطفال', 'والصبر', 'الاطفال الاطفال']","['وصبورات الاطفال', 'وسءالهم الاطفال', 'وخوفها الاطفال']"
14,13,406,13_راءعه_اكثر راءعه_الحضانه راءعه_روضه,"['راءعه', 'اكثر راءعه', 'الحضانه راءعه', 'روضه', 'اكثر', 'رااءعه', 'تجربه راءعه', 'روعه', 'حضانه', 'الحضانه']","['تجربه راءعه', 'راءعه جداا', 'راءعه', 'الحضانه راءعه', 'حضانه راءعه', 'رااءعه', 'راءع جد', 'مدرسه راءعه', 'راءع', 'راءعه مدرسه']","['ووساءل راءعه', 'وقاءم كوادر راءعه', 'ومرشده راءعه']"
15,14,390,14_اول_اول باول_باول_اول مره,"['اول', 'اول باول', 'باول', 'اول مره', 'اولادي', 'اول اسبوع', 'اولا', 'يوم', 'اسبوع', 'اي']","['اول مره', 'اول', 'اولا', 'اول مره اشوف', 'اول تجربه', 'اول اسبوع', 'اول باول', 'اولاد', 'بالروضه', 'اولي']","['اول نظره', 'وتتابع اول اول', 'ويطمنون اول اول']"
16,15,376,15_ومعلمات_المعلمات_معلمات_حنونات,"['ومعلمات', 'المعلمات', 'معلمات', 'حنونات', 'متمكنات', 'ومعلماتها', 'راءعات', 'المعلمات حنونات', 'متميزات', 'الفاضلات']","['ومعلمات', 'معلمات', 'اشكر المعلمات', 'المعلمات حنونات', 'المعلمات', 'الاطفال المعلمات', 'ومعلماتها', 'للمعلمات', 'الاستاذات', 'متعاونات']","['ومعلمات اكفاء', 'ومعلمات فتيات متحمسات', 'ومعلمات شاطرات']"
17,16,366,16_الحضانه_حضانه_النواحي_ممتازه,"['الحضانه', 'حضانه', 'النواحي', 'ممتازه', 'حضانه مميزه', 'نظيفه', 'مميزه', 'حضانه ممتازه', 'تكوين', 'متكامله']","['حضانه ممتازه', 'الحضانه', 'ممتازه النواحي', 'حضانه متميزه', 'انصح الحضانه', 'والحضانه', 'بحضانه', 'ممتازه ناحيه', 'حضانه مميزه', 'وحضانه']","['الحضانه ممتازه', 'الحضانه ممتازه', 'حضانه مميزه النواحي']"
18,17,365,17_تعاملهم_وتعاملهم_الاطفال_التعامل الاطفال,"['تعاملهم', 'وتعاملهم', 'الاطفال', 'التعامل الاطفال', 'تعاملهم الاطفال', 'التعامل', 'وتعاملها', 'تعاملها', 'حسن', 'لطيف']","['تعاملهم الاطفال', 'تعامل الاطفال', 'بالتعامل الاطفال', 'التعامل الاطفال', 'تعاملها الراقي', 'تعاملهم', 'لتعاملهم', 'وتعاملهم', 'تعامل المعلمات', 'حسن تعاملهم']","['ويهبل تعاملهم الاطفال', 'تعاملهم الاطفال', 'تعاملهم الاطفال']"
19,18,347,18_التعامل_والتعامل_بالتعامل_التعامل الاطفال,"['التعامل', 'والتعامل', 'بالتعامل', 'التعامل الاطفال', 'تعامل', 'الاطفال', 'واسلوب', 'رقي التعامل', 'ومعامله', 'رقي']","['ناحيه التعامل', 'رقي التعامل', 'التعامل الاطفال', 'تعامل الاطفال', 'التعامل', 'والتعامل', 'تعامل لطيف', 'التعاون', 'تعامل راءع', 'والمنهج']","['والادراه مرنه التعامل', 'ورقيها التعامل', 'مرونه التعامل']"
20,19,324,19_بالطفل_الاهتمام_اهتمام_واهتمام,"['بالطفل', 'الاهتمام', 'اهتمام', 'واهتمام', 'واهتمامهم', 'اهتمامهم', 'والاهتمام', 'اهتمام بالطفل', 'التفاصيل', 'واهتمامها']","['اهتمام بالطفل', 'تهتم بالطفل', 'الاهتمام بالاطفال', 'ناحيه الاهتمام', 'اهتمامهم بالاطفال', 'شكرا الاهتمام', 'الاهتمام', 'بالطفل النواحي', 'اهتمامهم', 'اي اهتمام']","['النواحي الاهتمام بالطفل', 'والاستمرارفي هاذالمستوي الاهتمام بالطفل', 'اكثر الاهتمام الفعلي بالطفل']"
21,20,305,20_وين_ومس_واتس_ماكانت,"['وين', 'ومس', 'واتس', 'ماكانت', 'رد', 'واتس اب', 'اب', 'ومافيه', 'ومافي', 'وبنتي']","['ماكانت', 'واتمني', 'وانتم', 'وياليت', 'مايتكلم', 'لاي', 'واللي', 'وانما', 'وماندمت', 'وناس']","['وين ماكانت', 'وين ماكانت', 'وين ماكانت']"
22,21,293,21_مهارات_التعليميه_الطفل_المهارات,"['مهارات', 'التعليميه', 'الطفل', 'المهارات', 'تطوير', 'مهارات الطفل', 'لتنميه', 'بشكل', 'بتعليم', 'الطلاب']","['لتعليم الاطفال', 'ناحيه التدريس', 'بتعليم الطفل', 'لتنميه', 'ناحيه الاهتمام', 'التدريس', 'وتنميه', 'مهارات الطفل', 'المتميزه', 'اهتمامهم']","['مميز بفعالياته تنمي مهارات الطفل', 'مفيده لتنميه مهارات الطفل', 'ممتاز انصح مميزين تطوير مهارات الطفل']"
23,22,281,22_وامتناني_واداري_واطفالي_يهبلون,"['وامتناني', 'واداري', 'واطفالي', 'يهبلون', 'واتطمن', 'ويهتمون', 'كانو', 'غرناطه', 'واولادي', 'واتمني']","['وامتناني', 'واتمني', 'واتقان', 'واداري', 'واولادي', 'واتطمن', 'واطفالي', 'ويهتمون', 'وايش', 'تردون']","['وامتناني', 'وامتناني', 'وامتناني المركز']"
24,23,275,23_الموظفات_والموظفات_لطيفات_موظفات,"['الموظفات', 'والموظفات', 'لطيفات', 'موظفات', 'متعاونات', 'المعلمات', 'المعلمات متعاونات', 'وموظفات', 'بشوشات', 'متميزات']","['لطيفات', 'الموظفات', 'والموظفات', 'وموظفات', 'لطيفين', 'موظفات', 'الموظفين', 'المعلمات متعاونات', 'الامهات', 'الاستاذات']","['والموظفات لطيفات', 'الموظفات لطيفات', 'والموظفات لطيفات']"
25,24,270,24_مدرسه_مدرسه جميله_مدرسه ممتازه_جميله,"['مدرسه', 'مدرسه جميله', 'مدرسه ممتازه', 'جميله', 'مدرسه متميزه', 'مدرسه سيءه', 'ممتازه', 'متميزه', 'مدرسه مميزه', 'مدارس']","['مدرسه جميله', 'مدرسه سيءه', 'مدرسه ممتازه', 'مدرسه قمه', 'مدرسه صغيره', 'جميله', 'مدرسه متميزه', 'مدارس اهليه', 'صراحه مدرسه', 'مدرسه مميزه']","['مدرسه جميله', 'مدرسه جميله', 'مدرسه جميله']"
26,25,264,25_حضانه راءعه_المركز راءع_حضانه_راءعه,"['حضانه راءعه', 'المركز راءع', 'حضانه', 'راءعه', 'وانا متطمنه', 'القلب', 'متطمنه', 'شكرا القلب', 'وانا', 'راءعه شكرا']","['حضانه راءعه', 'راءعه', 'راءعه مدرسه', 'راءعه شكرا', 'حضانه', 'راءع', 'مدرسه اكثر راءعه', 'رااءعه', 'شكرا حضانه', 'اكثر راءعه']","['حضانه راءعه', 'حضانه راءعه', 'حضانه راءعه']"
27,26,260,26_الطفل_تنمي_نفسيه_مهارات الطفل,"['الطفل', 'تنمي', 'نفسيه', 'مهارات الطفل', 'مهارات', 'تعليم', 'وحرصهم', 'احتياجات', 'والتعامل', 'التعامل الطفل']","['بتعليم الطفل', 'التعامل الطفل', 'ونفسيه', 'وجبه', 'وتعليم', 'شخصيه الطفل', 'وتعليميه', 'والتعامل', 'ويفهمون', 'وجهودهم']","['ويخافون خاطر الطفل', 'وتحميس الطفل للحضور', 'وترجع الطفل']"
28,27,250,27_المعلمات_وتعامل_الموظفات_تعامل,"['المعلمات', 'وتعامل', 'الموظفات', 'تعامل', 'تعامل المعلمات', 'ومتعاونات', 'راقي', 'ممتاز', 'المعلمين', 'معلماتها']","['تعامل المعلمات', 'المعلمات', 'الطالبات', 'المعلمين', 'باقي المعلمات', 'الكوادر', 'الاداريات', 'التعامل', 'الاستاذات', 'الطلبه']","['وتعامل المعلمات الاطفال', 'وتعامل المعلمات', 'وتعامل المعلمات']"
29,28,246,28_الوكيل_وترتيب_وترفيه_وحنونات,"['الوكيل', 'وترتيب', 'وترفيه', 'وحنونات', 'والتميز', 'ومهتمين', 'والتنظيم', 'المديره', 'الوكيله', 'الترتيب']","['الوكيل', 'الوكيله', 'المالكه', 'الترتيب', 'المديره', 'والتنظيم', 'تشكر', 'الله', 'والتميز', 'جد']","['الوكيل', 'الوكيل', 'الوكيل الله']"
30,29,239,29_عاليه_طيبه_مرره_ماشاءالله,"['عاليه', 'طيبه', 'مرره', 'ماشاءالله', 'واخلاقها', 'واخلاق', 'وحده', 'نظافه', 'اخلاقهم', 'بالروضه']","['قليله', 'ومهنيه', 'عنايه', 'تجاوبهم', 'واخلاقهم', 'تربيه', 'وراحه', 'تحيه', 'حركه', 'وجبه']","['وخبره عاليه', 'وحرفيه عاليه', 'مهنيه عاليه']"
31,30,227,30_والشكر_وافضل_ورحابه_والسنه,"['والشكر', 'وافضل', 'ورحابه', 'والسنه', 'والبنات', 'ورقه', 'وهالشي', 'ومراعاه', 'النوم', 'ضغط']","['والشكر', 'والسنه', 'والبنات', 'ورحابه', 'وافضل', 'ومره', 'وهالشي', 'ورقه', 'النوم', 'وكمان']","['والشكر', 'والشكر', 'والشكر']"
32,31,221,31_السلام_الرحمن_حصل_موجود,"['السلام', 'الرحمن', 'حصل', 'موجود', 'اولا', 'الله', 'ام', 'اللي', '', '']","['السلام', 'الرحمن', 'اللي', 'الله', 'ام', '', '', '', '', '']","['السلام', 'السلام', 'السلام']"
33,32,209,32_نجوم_خمس_خمس نجوم_اكثر خمس,"['نجوم', 'خمس', 'خمس نجوم', 'اكثر خمس', 'رقم نجوم', 'اكثر', 'اكثر رقم', 'نجمه', 'يستاهلون', 'نجمات']","['اكثر خمس', 'خمس نجوم', 'شكرا بحجم السماء', 'خمس نجمات', 'المدرسه اكثر', 'نجوم صغيره', 'اعطيه', 'اعطيهم', 'اكثر', 'استاذه العنود']","['اكثر خمس نجوم ترردت اختيارها', 'اكثر خمس نجوم اعطيتهم', 'اكثر خمس نجوم عطيتهم']"
34,33,207,33_تجربتي_تجربه_تجربه سيءه_سيءه,"['تجربتي', 'تجربه', 'تجربه سيءه', 'سيءه', 'للاسف', 'جميله', 'معاهم', 'لطفلي', 'سابقه', 'تجربتنا']","['تجربه سيءه', 'سيءه للغايه', 'سيءه', 'حضانه سيءه', 'تجربتي', 'تجربه راءعه', 'اول تجربه', 'تجربه', 'يكمل', 'الضيافه']","['للاسف تجربه سيءه', 'تجربه سيءه للاسف', 'تجربتي تجربه سيءه انصح']"
35,34,206,34_والطالبات_والعرفان_والعاملات_وممتاز,"['والطالبات', 'والعرفان', 'والعاملات', 'وممتاز', 'والمتابعه', 'الكريم', 'والمكان', 'الممتاز', 'القران الكريم', 'والقران']","['والطالبات', 'والعاملات', 'الطالبات', 'والعرفان', 'والقران', 'والكل', 'للمعلمات', 'والمكان', 'والمتابعه', 'معلمات']","['والطالبات', 'والطالبات', 'والطالبات']"
36,35,205,35_ومفيده_ومتجاوبه_نظيفين_ونظيف,"['ومفيده', 'ومتجاوبه', 'نظيفين', 'ونظيف', 'ومتاكده', 'نظيف', 'بكثير', 'وايضا', 'ان', 'ناجح']","['ومفيده', 'ومتجاوبه', 'ومتاكده', 'وخاصه', 'ومجهود', 'وسعيده', 'يستفيد', 'ونظيف', 'واكثر', 'وم']","['ومفيده', 'ومفيده', 'ومفيده']"
37,36,190,36_والعاب_والراءع_والخروج_والصبر,"['والعاب', 'والراءع', 'والخروج', 'والصبر', 'والراحه', 'غالي', 'ذوق', 'وللاداره', 'ونفسيه', 'وصبر']","['والعاب', 'الالعاب', 'والراءع', 'والصبر', 'والراحه', 'والخروج', 'وصبر', 'ونفسيه', 'وعد', 'وخاصه']","['والعاب', 'والعاب', 'والعاب ذكاء']"
38,37,188,37_اسجل_احط_بنتي_اسجل بنتي,"['اسجل', 'احط', 'بنتي', 'اسجل بنتي', 'احط بنتي', 'كنت', 'خايفه', 'جيت', 'صح', 'اقدر']","['اسجل بنتي', 'احط بنتي', 'حطيت بنتي', 'بنتي', 'وربي', 'ودي', 'اسجل', 'حطيت', 'انا جيت', 'شكوي']","['وحمسوني اسجل بنتي', 'برجع اسجل بنتي', 'وابي اسجل بنتي']"
39,38,182,38_والمعلمات_متعاونات_والمدرسات_حنونات,"['والمعلمات', 'متعاونات', 'والمدرسات', 'حنونات', 'بشوشات', 'الراءعات', 'والعاملات', 'حبوبات', 'محترفات', 'راقيات']","['والمعلمات', 'والعاملات', 'والمدرسات', 'والمهارات', 'للمعلمات', 'وخلوقات', 'والنشاطات', 'المجهود', 'الراءعات', 'والمكان']","['والمعلمات متفهمات', 'والمعلمات الراقيات', 'والمعلمات نشيطات']"
40,39,181,39_والمعلمات_والتعلم_والمدرسات_التعلم,"['والمعلمات', 'والتعلم', 'والمدرسات', 'التعلم', 'والعلم', 'سعوديات', 'ايضا', 'المكان', 'الي', 'المدرسه']","['والمعلمات', 'والمدرسات', 'والتعلم', 'والعلم', 'التعلم', 'المدرسه', 'المكان', 'ايضا', 'سعوديات', 'الي']","['والمعلمات', 'والمعلمات', 'والمعلمات']"
41,40,180,40_للطفل_طفلك_تحطين طفلك_ومريح,"['للطفل', 'طفلك', 'تحطين طفلك', 'ومريح', 'بالطفل', 'تحطين', 'لطفلك', 'لطفل', 'وامنه', 'نفسيا']","['للطفل', 'والطفل', 'بالطفل', 'لطفل', 'ومريحه', 'لطفلي', 'والروضه', 'وطفلي', 'تحطين طفلك', 'للطالب']","['التحفيز للطفل', 'وتاسيسها للطفل', 'وجيده للطفل']"
42,41,176,41_حلوه_مره حلوه_حلو_جد,"['حلوه', 'مره حلوه', 'حلو', 'جد', 'مره', 'حبها', 'حضانه', 'سعيده', 'واسعارهم', 'جميله']","['مره حلوه', 'مره حلو', 'حلووه', 'حلوه', 'الحلوه', 'حلو', 'مقارنه', 'ومره', 'ممتازه', 'الروضه']","['واثق طاقه حلوه', 'مره المدرسه حلوه', 'حلوه مره']"
43,42,169,42_راءع_راءعين_تعامل راءع_وطاقم,"['راءع', 'راءعين', 'تعامل راءع', 'وطاقم', 'راءع تعامل', 'واداري', 'رااءع', 'الطاقم', 'تاسيس', 'اسلوب']","['راءع', 'تعامل راءع', 'راءع اشكر', 'المركز راءع', 'راءع تعامل', 'رااءع', 'معلمات راءعات', 'طاقم راءع', 'راءع صراحه', 'راءعات']","['وتدريس راءع', 'واو راءع', 'وتدريسهم راءع']"
44,43,169,43_الطلاب_وتنميه_بشكل_مستمر,"['الطلاب', 'وتنميه', 'بشكل', 'مستمر', 'الملاحظات', 'والطلاب', 'بشكل يومي', 'يومي', 'تطوير', 'بطرق']","['وتعليم الاطفال', 'والطلاب', 'والتواصل', 'الطلاب', 'تدريسهم', 'ونفسيه', 'وانشطتهم', 'تدريسها', 'والتعلم', 'وتتواصل']","['وضيقه الطلاب', 'وتصوير الطلاب', 'ومتابعتهم الطلاب']"
45,44,166,44_قمه_قمه الاخلاق_الاخلاق_الذوق,"['قمه', 'قمه الاخلاق', 'الاخلاق', 'الذوق', 'الروعه', 'قمه الروعه', 'بالاخلاق', 'قمه الرقي', 'الاحترام', 'الرقي']","['قمه الابداع', 'قمه الاخلاق', 'قمه الروعه', 'قمه التعامل', 'قمه الرقي', 'بصراحه حضانه', 'الامر', 'التجربه', 'الاخلاق', 'الادراه']","['قمه الادب', 'القاءم قمه الروقي', 'وخلود قمه قمه الاخلاق']"
46,45,162,45_واهتمام_حقيقي_تعليم_,"['واهتمام', 'حقيقي', 'تعليم', '', '', '', '', '', '', '']","['واهتمام', 'تعليم', 'حقيقي', '', '', '', '', '', '', '']","['واهتمام', 'واهتمام', 'واهتمام']"
47,46,161,46_والامهات_والاكل_والاسلوب_والاداريه,"['والامهات', 'والاكل', 'والاسلوب', 'والاداريه', 'والا', 'والاخصاءيات', 'لعب', 'والارقام', 'والافضل', 'جيدات']","['والامهات', 'والاكل', 'والاجمل', 'والافضل', 'والاداريه', 'والاسلوب', 'والاخصاءيات', 'والارقام', 'والا', 'تروح']","['والامهات', 'والامهات', 'والامهات']"
48,47,158,47_مدرسه_مدرسه راءعه_الكلمه_مدرسه ممتازه,"['مدرسه', 'مدرسه راءعه', 'الكلمه', 'مدرسه ممتازه', 'راءعه', 'بمعني الكلمه', 'بمعني', 'الاهليه', 'مدارس', 'ماتعنيه']","['مدرسه اكثر راءعه', 'مدرسه راءعه', 'مدرسه سيءه', 'بصراحه مدرسه', 'ماشاء الله مدرسه', 'بمعني الكلمه', 'مدرسه ممتازه', 'مدرسه صغيره', 'الي المعلمات', 'الاهليه']","['مدرسه راءعه بمعلماتها', 'مدرسه راءعه ماتحمله الكلمه معني', 'وكانها مدرسه']"
49,48,155,48_للاداره_خاص_للمعلمات_وشكر,"['للاداره', 'خاص', 'للمعلمات', 'وشكر', 'وشكر خاص', 'للمديره', 'وشكرا', 'شكر', 'شكر خاص', 'للمدرسه']","['الشكر للمعلمات', 'الشكر للاداره', 'وشكر خاص', 'شكرا للقاءمين', 'اشكر المعلمات', 'للمعلمات', 'والشكر', 'للقاءمين', 'وشكرا', 'للمعلمه']","['شكر خاص للمعلمات السابقات', 'وشكر خاص للمديره هالتعامل اللبق', 'وشكر خاص للاداره']"
50,49,152,49_الانشطه_والانشطه_وانشطه_انشطه,"['الانشطه', 'والانشطه', 'وانشطه', 'انشطه', 'المتنوعه', 'حركيه', 'اسبوع', 'مفيده', 'جميله', 'والعاب']","['الانشطه', 'انشطه', 'وانشطه', 'المستمره', 'الاعمار', 'المفيده', 'المختلفه', 'المقدمه', 'السنه', 'القران']","['الانشطه', 'الانشطه', 'التفصيل الانشطه']"
51,50,152,50_والرقي_والحروف_ومتجدده_وخلوقات,"['والرقي', 'والحروف', 'ومتجدده', 'وخلوقات', 'وجواهر', 'ومرتاح', 'ومبدعين', 'والحين', 'الكبير', 'وللحين']","['والرقي', 'والحروف', 'وجواهر', 'وخلوقات', 'والحين', 'ومرتاح', 'الحربي', 'ومبدعين', 'ومتجدده', 'اسبوع']","['والرقي', 'والرقي', 'والرقي']"
52,51,151,51_جميله_الروضه_الحضانه_ماشاء,"['جميله', 'الروضه', 'الحضانه', 'ماشاء', 'ماشاء الله', 'حضانه', 'حضانه جميله', 'صغيره', 'حضانه ممتازه', 'مرتبه']","['روضه جميله', 'الروضه', 'الاطفال الروضه', 'روضه ممتازه', 'الروضه رقم', 'الصراحه', 'بصراحه', 'بصراحه حضانه', 'التربيه', 'المكان جميل']","['الروضه جميله', 'الروضه جميله', 'الروضه جميله']"
53,52,150,52_ومهتمين_مهتمين_يهتمون_بالطفل,"['ومهتمين', 'مهتمين', 'يهتمون', 'بالطفل', 'ويهتمون', 'بالنظافه', 'بالطلاب', 'بنظافه', 'تهتم بالطفل', 'بالاطفال']","['تهتم بالطفل', 'ومهتمين', 'مهتمين', 'بالطفل النواحي', 'يهتمون', 'للطفل', 'والعاملين', 'والطفل', 'بالطفل', 'يحتاجون']","['ومهتمين بالطفل', 'ومهتمين بالطفل', 'ومهتمين بالطفل']"
54,53,149,53_جهودهم_جهودكم_اشكرهم_جهودها,"['جهودهم', 'جهودكم', 'اشكرهم', 'جهودها', 'شاكره', 'واشكرهم', 'الجباره', 'جهدهم', 'جهود', 'مشكورين']","['جهودهم', 'تعاونهم', 'تعاملهم', 'تعليمهم', 'اهتمامهم', 'جهودها', 'واشكرهم', 'وجهودهم', 'جهدهم', 'جهودكم']","['ونشكر جهودهم', 'ونشكر جهودهم', 'ورابع جهودهم']"
55,54,143,54_ام_عبدالله_فيصل_ام خالد,"['ام', 'عبدالله', 'فيصل', 'ام خالد', 'احمد', 'خالد', 'ام عمر', 'محمد', 'نجد', 'ريما']","['ام عمر', 'امين', 'ام سعود', 'امل', 'ام', 'ام خالد', 'نايف', 'هديل', 'ديم', 'امينه']","['ام ياسر', 'ام مسك', 'ام ريف']"
56,55,143,55_عمرها_سنوات_رقم سنوات_عمره,"['عمرها', 'سنوات', 'رقم سنوات', 'عمره', 'رقم', 'سنتين', 'عمره رقم', 'رقم شهور', 'شهور', 'عمر']","['دخلت بنتي', 'بنتي الثانيه', 'بنتي رقم', 'كانت بنتي', 'عمره رقم', 'سجلت بنتي', 'حتي رقم', 'عمرها سنتين', 'بعمر رقم', 'بنتي']","['بنتي عمرها رقم سنوات', 'بنتي عمرها رقم سنوات', 'بنتي عمرها رقم سنوات']"
57,56,142,56_متنوعه_انشطه متنوعه_وبرامج_انشطه,"['متنوعه', 'انشطه متنوعه', 'وبرامج', 'انشطه', 'انشطتهم', 'وانشطه', 'الانشطه', 'مختلفه', 'ونشاطات', 'الالعاب']","['متنوعه', 'انشطه متنوعه', 'وانشطتهم', 'ومواقف', 'متطوره', 'ومهتمه', 'تنوع', 'والنشاطات', 'ونشاطات', 'وانشطه']","['وانشطتها متنوعه', 'وانشطته متنوعه', 'ونشاطاتهم متنوعه']"
